name,link,letter_name
Rediet Abebe,/wiki/Rediet_Abebe,A
Ilkay Altintas,/wiki/Ilkay_Altintas,A
Sihem Amer-Yahia,/wiki/Sihem_Amer-Yahia,A
Cecilia Berdichevsky,/wiki/Cecilia_Berdichevsky,B
Tamara Broderick,/wiki/Tamara_Broderick,B
Ewa Deelman,/wiki/Ewa_Deelman,D
Rebeca Guber,/wiki/Rebeca_Guber,G
Ingrid Verbauwhede,/wiki/Ingrid_Verbauwhede,I
Samantha John,/wiki/Samantha_John,J
Kate Keahey,/wiki/Kate_Keahey,K
Megan Squire,/wiki/Megan_Squire,M
Cicely Popplewell,/wiki/Cicely_Popplewell,P
Alessandra Sala,/wiki/Alessandra_Sala,S
Angela Sasse,/wiki/Angela_Sasse,S
Michela Taufer,/wiki/Michela_Taufer,T
Valerie Taylor (computer scientist),/wiki/Valerie_Taylor_(computer_scientist),T
Wei Wang (computer scientist),/wiki/Wei_Wang_(computer_scientist),W
Marsha Rhea Williams,/wiki/Marsha_Rhea_Williams,W
Megan Squire,/wiki/Megan_Squire,M
Cicely Popplewell,/wiki/Cicely_Popplewell,P
Alessandra Sala,/wiki/Alessandra_Sala,S
Angela Sasse,/wiki/Angela_Sasse,S
Michela Taufer,/wiki/Michela_Taufer,T
Valerie Taylor (computer scientist),/wiki/Valerie_Taylor_(computer_scientist),T
Wei Wang (computer scientist),/wiki/Wei_Wang_(computer_scientist),W
Marsha Rhea Williams,/wiki/Marsha_Rhea_Williams,W
